Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Prediction_Class,Prediction_Probability,Risk_Score,Alert_Triggered
172.16.0.1-192.168.10.50-65259-80-6,192.168.10.50,80,172.16.0.1,65259,6,7/7/2017 4:06,902818,1,6,6,36,6,6,6,0,6,6,6,0,46.52100423,7.753500706,150469.6667,354829.6734,874568,3,0,0,0,0,0,880992,176198.4,390404.1029,874568,3,0,0,0,0,20,120,1.107642958,6.645857748,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
172.16.0.1-192.168.10.50-18258-80-6,172.16.0.1,18258,192.168.10.50,80,6,7/7/2017 3:59,25627,3,4,26,11601,20,0,8.666666667,10.26320288,10135,0,2900.25,4871.82583,453701.1745,273.1494127,4271.166667,9647.389728,23949,8,24009,12004.5,16965.613,24001,8,25575,8525,13715.70647,24355,187,0,0,0,0,72,92,117.064034,156.0853787,0,10135,1453.375,3544.652026,12600000,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9776,Critical,YES
172.16.0.1-192.168.10.50-56074-80-6,172.16.0.1,56074,192.168.10.50,80,6,7/7/2017 4:09,92232727,8,6,56,11601,20,0,7,5.656854249,5840,0,1933.5,2201.078258,126.3868084,0.151789939,7094825.154,22600000,81800000,1,90800000,13000000,30500000,81800000,1,1426241,285248.2,633973.0066,1419324,159,0,0,0,0,172,132,0.086737108,0.065052831,0,5840,777.5333333,1638.521584,2684752.981,0,0,0,0,1,0,0,0,0,833.0714286,7,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,3944,0,3944,3944,45400000,51500000,81800000,8982816,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-37416-80-6,172.16.0.1,37416,192.168.10.50,80,6,7/7/2017 4:12,1768488,3,4,26,11601,20,0,8.666666667,10.26320288,7215,0,2900.25,3540.00286,6574.542773,3.958183488,294748,703816.432,1731091,5,37043,18521.5,26186.28543,37038,5,1768464,589488,988830.8058,1731091,158,0,0,0,0,72,92,1.696364352,2.261819136,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,1,1661,8.666666667,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9792,Critical,YES
172.16.0.1-192.168.10.50-35237-80-6,172.16.0.1,35237,192.168.10.50,80,6,7/7/2017 4:11,773323,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,15035.11469,10.34496582,110474.7143,287057.6521,761398,5,11042,5521,7800.80201,11037,5,773146,193286.5,378777.6639,761398,187,0,0,0,0,72,112,3.879362181,6.465603635,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9907,Critical,YES
172.16.0.1-192.168.10.50-38781-80-6,172.16.0.1,38781,192.168.10.50,80,6,7/7/2017 4:13,1493229,3,4,26,11607,20,0,8.666666667,10.26320288,11595,0,2901.75,5795.50069,7790.499649,4.68782752,248871.5,609231.4837,1492460,5,680,340,264.4579362,527,153,1493214,497738,861454.602,1492460,5,0,0,0,0,72,92,2.009068937,2.678758583,0,11595,1454.125,4097.537534,16800000,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
192.168.10.14-72.21.91.113-57922-443-6,72.21.91.113,443,192.168.10.14,57922,6,7/7/2017 3:51,830,5,1,398,6,242,6,79.6,94.71694674,6,6,6,0,486746.988,7228.915663,166,293.591553,687,1,830,207.5,380.951878,778,1,0,0,0,0,0,1,0,0,0,100,20,6024.096386,1204.819277,6,242,92.28571429,105.3165297,11091.57143,0,1,0,0,1,0,0,0,0,107.6666667,79.6,6,100,0,0,0,0,0,0,5,398,1,6,288,0,4,20,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
172.16.0.1-192.168.10.50-40550-80-6,172.16.0.1,40550,192.168.10.50,80,6,7/7/2017 4:14,4435876,4,0,24,0,6,6,6,0,0,0,0,0,5.410430769,0.901738462,1478625.333,2558451.369,4432870,4,4435876,1478625.333,2558451.369,4432870,4,0,0,0,0,0,0,0,0,0,80,0,0.901738462,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-61809-80-6,172.16.0.1,61809,192.168.10.50,80,6,7/7/2017 4:14,3063954,5,0,30,0,6,6,6,0,0,0,0,0,9.791269712,1.631878285,765988.5,1531297.741,3062935,1,3063954,765988.5,1531297.741,3062935,1,0,0,0,0,0,0,0,0,0,100,0,1.631878285,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0,0,0,0,0,0,0,0,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-51427-80-6,172.16.0.1,51427,192.168.10.50,80,6,7/7/2017 3:57,325305,4,0,24,0,6,6,6,0,0,0,0,0,73.77691705,12.29615284,108435,186936.5943,324290,3,325305,108435,186936.5943,324290,3,0,0,0,0,0,0,0,0,0,80,0,12.29615284,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS,0.7297,Medium,NO
192.168.10.3-192.168.10.14-53-49228-17,192.168.10.14,49228,192.168.10.3,53,17,7/7/2017 4:13,23761,2,2,82,204,41,41,41,0,102,102,102,0,12036.53045,168.3430832,7920.333333,13673.40577,23709,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,64,40,84.1715416,84.1715416,41,102,65.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,81.75,41,102,64,0,0,0,0,0,0,2,82,2,204,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
192.168.10.3-192.168.10.8-53-61478-17,192.168.10.8,61478,192.168.10.3,53,17,7/7/2017 4:53,1182,2,2,66,166,33,33,33,0,83,83,83,0,196277.4958,3384.094755,394,678.0980755,1177,2,2,2,0,2,2,3,3,0,3,3,0,0,0,0,40,40,1692.047377,1692.047377,33,83,53,27.38612788,750,0,0,0,0,0,0,0,0,1,66.25,33,83,40,0,0,0,0,0,0,2,66,2,166,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
172.16.0.1-192.168.10.50-55487-80-6,172.16.0.1,55487,192.168.10.50,80,6,7/7/2017 4:08,91026155,9,5,62,11601,20,0,6.888888889,5.30199124,8760,0,2320.2,3668.897,128.1280089,0.153801948,7002011.923,22700000,82200000,1,89700000,11200000,28800000,82200000,1,1325029,331257.25,660229.9731,1321600,124,0,0,0,0,192,112,0.098872681,0.054929267,0,8760,777.9333333,2262.786603,5120203.21,0,0,0,0,1,0,0,0,0,833.5,6.888888889,2320.2,192,0,0,0,0,0,0,9,62,5,11601,256,229,7,20,6,0,6,6,44900000,52800000,82200000,7540813,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-59289-80-6,172.16.0.1,59289,192.168.10.50,80,6,7/7/2017 4:01,78444982,9,5,62,11601,20,0,6.888888889,5.30199124,7300,0,2320.2,3022.508098,148.6774514,0.178469032,6034229.385,20000000,72300000,2,78400000,9803186.875,25400000,72300000,2,31026,7756.5,8904.853265,18541,45,0,0,0,0,192,112,0.114730092,0.06373894,0,7300,777.9333333,1970.892563,3884417.495,0,0,0,0,1,0,0,0,0,833.5,6.888888889,2320.2,192,0,0,0,0,0,0,9,62,5,11601,256,229,7,20,1991,0,1991,1991,39200000,46900000,72300000,6069879,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-62199-80-6,172.16.0.1,62199,192.168.10.50,80,6,7/7/2017 4:03,683365,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,17014.33348,11.70677456,97623.57143,253406.4243,672232,48,10814,5407,7015.913483,10368,446,683259,170814.75,334315.938,672232,48,0,0,0,0,72,112,4.390040462,7.316734103,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9907,Critical,YES
172.16.0.1-192.168.10.50-57159-80-6,172.16.0.1,57159,192.168.10.50,80,6,7/7/2017 4:01,5876821,5,0,30,0,6,6,6,0,0,0,0,0,5.104800708,0.850800118,1469205.25,2937749.203,5875829,1,5876821,1469205.25,2937749.203,5875829,1,0,0,0,0,0,0,0,0,0,100,0,0.850800118,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,992,0,992,992,5875829,0,5875829,5875829,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-56232-80-6,172.16.0.1,56232,192.168.10.50,80,6,7/7/2017 4:10,8394803,5,0,30,0,6,6,6,0,0,0,0,0,3.573639548,0.595606591,2098700.75,4196069.533,8392805,272,8394803,2098700.75,4196069.533,8392805,272,0,0,0,0,0,0,0,0,0,100,0,0.595606591,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1998,0,1998,1998,8392805,0,8392805,8392805,DDoS,0.7297,Medium,NO
192.168.10.9-23.237.33.23-10522-443-6,23.237.33.23,443,192.168.10.9,10522,6,7/7/2017 4:47,21411,2,1,44,0,38,6,22,22.627417,0,0,0,0,2055.018448,140.1148942,10705.5,15019.65514,21326,85,21411,21411,0,21411,21411,0,0,0,0,0,1,0,0,0,40,32,93.40992948,46.70496474,0,38,20.5,20.35517952,414.3333333,0,1,0,0,1,0,0,0,0,27.33333333,22,0,40,0,0,0,0,0,0,2,44,1,0,4,255,1,20,0,0,0,0,0,0,0,0,BENIGN,0.0033,Low,NO
172.16.0.1-192.168.10.50-25162-80-6,172.16.0.1,25162,192.168.10.50,80,6,7/7/2017 4:04,123559,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,94149.35375,64.74639646,17651.28571,45782.55973,121467,3,1901,950.5,1154.705374,1767,134,123512,30878,60398.89594,121467,3,0,0,0,0,72,112,24.27989867,40.46649779,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
172.16.0.1-192.168.10.50-60154-80-6,192.168.10.50,80,172.16.0.1,60154,6,7/7/2017 4:11,98244415,6,10,11613,68,7215,0,1935.5,3122.940009,20,0,6.8,5.006662228,118.8973439,0.16285913,6549627.667,24800000,96000000,1,98200000,19600000,43100000,96700000,4,96700000,10700000,32000000,96000000,1,0,0,0,0,132,212,0.061072174,0.101786957,0,7215,687.4705882,1987.570568,3950436.765,0,0,0,0,1,1,0,0,1,730.4375,1935.5,6.8,132,0,0,0,0,0,0,6,11613,10,68,229,256,4,20,686906,0,686906,686906,96000000,0,96000000,96000000,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-31468-80-6,172.16.0.1,31468,192.168.10.50,80,6,7/7/2017 4:09,6143869,5,0,30,0,6,6,6,0,0,0,0,0,4.882916612,0.813819435,1535967.25,3069948.5,6140890,990,6143869,1535967.25,3069948.5,6140890,990,0,0,0,0,0,0,0,0,0,100,0,0.813819435,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.2,6,0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2979,0,2979,2979,6140890,0,6140890,6140890,DDoS,0.7297,Medium,NO
192.168.10.15-23.210.202.27-59593-80-6,192.168.10.15,59593,23.210.202.27,80,6,7/7/2017 4:20,110938607,16,15,664,780,293,0,41.5,98.18689661,384,0,52,134.8077997,13.01620814,0.279433831,3697953.567,4771601.746,10000000,166,111000000,7383338.067,4521376.074,10200000,198,111000000,7910701,4273276.824,10200000,422,0,0,0,0,332,432,0.144223913,0.135209918,0,384,45.125,113.8745065,12967.40323,0,0,0,1,0,0,0,0,0,46.58064516,41.5,52,332,0,0,0,0,0,0,16,664,15,780,8192,980,15,20,215449.4545,73858.74935,433429,188495,9852738.818,470531.3843,10000000,8436094,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-60394-80-6,172.16.0.1,60394,192.168.10.50,80,6,7/7/2017 4:11,625323,3,5,26,11607,20,0,8.666666667,10.26320288,10220,0,2321.4,4455.182578,18603.18587,12.79338838,89331.85714,236053.5808,624651,2,470,235,264.4579362,422,48,625242,156310.5,312227.0512,624651,2,0,0,0,0,72,112,4.797520641,7.995867736,0,10220,1292.555556,3378.299021,11400000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
172.16.0.1-192.168.10.50-37119-80-6,172.16.0.1,37119,192.168.10.50,80,6,7/7/2017 4:12,9973891,4,0,24,0,6,6,6,0,0,0,0,0,2.406282563,0.401047094,3324630.333,5757863.139,9973238,317,9973891,3324630.333,5757863.139,9973238,317,0,0,0,0,0,0,0,0,0,80,0,0.401047094,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,7.5,6,0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,653,0,653,653,9973238,0,9973238,9973238,DDoS,0.7297,Medium,NO
172.16.0.1-192.168.10.50-50672-80-6,192.168.10.50,80,172.16.0.1,50672,6,7/7/2017 4:15,1339123,6,2,11607,26,5840,0,1934.5,2992.388862,20,6,13,9.899494937,8687.028749,5.974059142,191303.2857,505769.2257,1338280,3,1339123,267824.6,598402.8132,1338280,4,3,3,0,3,3,0,0,0,0,144,40,4.480544356,1.493514785,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,0,1454.125,1934.5,13,144,0,0,0,0,0,0,6,11607,2,26,8192,256,4,20,0,0,0,0,0,0,0,0,DDoS,0.6980,Medium,NO
172.217.6.194-192.168.10.15-443-58084-6,172.217.6.194,443,192.168.10.15,58084,6,7/7/2017 3:41,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,412,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,0.0032,Low,NO
192.168.10.3-192.168.10.12-53-11062-17,192.168.10.12,11062,192.168.10.3,53,17,7/7/2017 3:53,210,2,2,64,204,32,32,32,0,102,102,102,0,1276190.476,19047.61905,70,78.63205453,157,4,4,4,0,4,4,49,49,0,49,49,0,0,0,0,80,80,9523.809524,9523.809524,32,102,60,38.34057903,1470,0,0,0,0,0,0,0,0,1,75,32,102,80,0,0,0,0,0,0,2,64,2,204,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
192.168.10.16-52.20.182.36-48136-443-6,52.20.182.36,443,192.168.10.16,48136,6,7/7/2017 3:30,48,1,1,0,0,0,0,0,0,0,0,0,0,0,41666.66667,48,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,20833.33333,20833.33333,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,122,338,0,32,0,0,0,0,0,0,0,0,BENIGN,0.0044,Low,NO
172.16.0.1-192.168.10.50-34209-80-6,172.16.0.1,34209,192.168.10.50,80,6,7/7/2017 4:10,484688,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,24001.00683,16.50546331,69241.14286,182720.5184,483612,7,797,398.5,468.8117959,730,67,484641,121160.25,241634.7858,483612,7,0,0,0,0,72,112,6.189548741,10.31591457,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
172.16.0.1-192.168.10.50-62852-80-6,172.16.0.1,62852,192.168.10.50,80,6,7/7/2017 4:03,1732945,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,6712.85009,5.19347123,216618.125,612355.6529,1732121,3,530,265,304.0559159,480,50,1732932,346586.4,774537.4197,1732121,3,0,0,0,0,72,132,1.731157077,3.462314153,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS,0.9942,Critical,YES
192.168.10.3-192.168.10.12-53-12102-17,192.168.10.12,12102,192.168.10.3,53,17,7/7/2017 3:57,238,2,2,64,204,32,32,32,0,102,102,102,0,1126050.42,16806.72269,79.33333333,96.64539996,188,3,3,3,0,3,3,47,47,0,47,47,0,0,0,0,40,40,8403.361345,8403.361345,32,102,60,38.34057903,1470,0,0,0,0,0,0,0,0,1,75,32,102,40,0,0,0,0,0,0,2,64,2,204,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
192.168.10.1-192.168.10.3-53-61940-17,192.168.10.3,61940,192.168.10.1,53,17,7/7/2017 4:36,25454,1,1,40,124,40,40,40,0,124,124,124,0,6442.995207,78.57311228,25454,0,25454,25454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,39.28655614,39.28655614,40,124,68,48.49742261,2352,0,0,0,0,0,0,0,0,1,102,40,124,32,0,0,0,0,0,0,1,40,1,124,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN,0.0031,Low,NO
